goals,birthday,skin_colour,victories,leagueCountry,weight,ties,position,yellowCards,redCards,defeats,yellowReds,height,games,club
33,1984,0,80,1,73,34,0,16,0,57,0,180,171,84
3,1988,0,33,3,78,28,1,24,1,42,2,179,103,18
76,1991,0,168,0,69,85,11,16,1,74,0,170,327,21
18,1989,0,72,2,77,46,3,32,1,68,1,180,186,74
182,1986,0,188,0,84,70,2,41,0,102,0,193,360,46
8,1986,0,32,3,72,17,8,7,0,27,0,176,76,67
51,1981,0,80,2,90,60,2,28,0,81,0,185,221,74
0,1988,0,35,3,73,19,1,8,0,28,1,180,82,9
27,1983,1,84,3,74,52,7,49,3,86,1,177,222,50
36,1987,1,119,2,77,76,8,28,0,101,1,176,296,87
18,1980,0,106,2,76,57,4,23,1,74,1,179,237,1
5,1987,0,48,3,79,35,4,18,0,40,2,184,123,65
27,1987,0,31,1,76,25,2,4,0,34,0,186,90,49
13,1983,0,152,2,90,114,1,79,3,163,2,189,429,86
46,1986,0,93,3,78,64,7,54,4,102,1,179,259,18
13,1980,0,112,3,80,66,1,84,3,89,5,185,267,72
170,1984,1,234,0,75,116,2,43,5,100,1,190,450,80
14,1979,1,120,0,78,88,1,33,0,150,1,183,358,90
43,1980,0,241,3,68,103,3,100,4,121,5,170,465,10
11,1994,0,60,2,82,23,3,34,0,34,1,184,117,12
0,1990,0,12,0,74,9,6,8,0,28,0,183,49,8
70,1988,0,133,2,83,71,2,27,0,84,1,190,288,2
2,1979,1,268,3,75,107,6,34,4,82,0,186,457,29
16,1993,0,42,2,74,13,1,14,2,49,0,183,104,25
89,1987,0,120,2,72,61,2,23,0,93,0,177,274,25
14,1983,0,133,1,65,94,4,44,0,120,3,175,347,82
9,1986,0,96,2,73,63,0,65,2,95,1,183,254,1
6,1982,1,98,3,80,51,6,28,0,61,1,183,210,23
15,1988,0,161,3,71,75,4,75,1,75,4,174,311,83
97,1985,0,196,1,71,97,2,62,4,104,0,173,397,57
3,1991,0,36,2,59,19,7,11,1,30,0,169,85,69
0,1990,0,48,2,93,33,5,9,2,55,0,196,136,33
12,1987,0,95,2,64,75,6,8,0,106,0,178,276,2
46,1986,0,103,3,70,57,11,37,5,91,3,169,251,37
0,1978,0,76,1,89,79,5,11,5,85,0,188,240,30
36,1985,0,104,1,68,65,7,28,1,98,3,176,267,24
32,1991,0,53,0,73,25,2,17,0,41,1,180,119,43
16,1988,0,149,3,70,38,6,51,1,55,5,179,242,63
4,1990,0,47,0,65,18,6,14,2,29,0,172,94,58
13,1979,0,105,1,69,79,10,16,0,75,0,176,259,54
4,1987,0,31,1,74,32,9,15,1,28,1,177,91,3
14,1979,0,102,1,73,82,7,35,4,121,2,184,305,92
18,1982,0,192,0,76,110,1,75,3,161,4,183,463,51
8,1989,0,64,2,67,46,9,27,1,41,0,168,151,86
13,1982,0,63,1,68,57,10,23,0,64,0,174,184,36
6,1989,1,49,2,75,35,1,25,4,40,0,185,124,69
15,1987,0,104,3,90,46,1,40,2,56,2,195,206,72
19,1991,0,39,0,72,21,2,11,0,52,0,185,112,47
14,1986,1,92,2,80,41,1,19,0,43,1,194,176,16
6,1987,0,46,2,85,33,1,31,2,37,0,193,116,39
29,1992,0,64,2,79,32,10,20,0,51,0,179,147,74
